"项目名称","当前取值","来源类型","一手来源（URL 或文件路径 + 哈希）","日期","在代码中的位置（文件路径 + 行号或函数名）","在论文中的位置（章节/表/公式编号）","风险说明","若该项被审稿人质疑，我们能出示什么证据","该项是否已在论文正文显式披露其来源类型"
"L15 成都 2025-02-12 柴油价","7.48 元/L","官方观测","四川省发展改革委公报 https://fgw.sc.gov.cn/sfgw/jggb/2025/8/4/119ccf6d200b4d5f86cd8d56125bd793/files/%E3%80%8A%E4%BB%B7%E6%A0%BC%E5%85%AC%E6%8A%A5%C2%B7%E5%9B%9B%E5%B7%9D%E3%80%8B2025%E5%B9%B4%E4%B8%8A%E5%8D%8A%E5%B9%B4%E5%90%88%E5%88%8A-20250804125716253.pdf；快照 SHA-256 0f8ae0436976c1812aba0386c3c52bc52530676ca0f3c5ea9c53403fe5a7141a","价期覆盖 2025-02-12；归档 2025-08-04；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","后归档历史价证据，不能把归档日误作价格生效日。","官方公报、快照哈希、逐城登记与运行时行。","否"
"L16 重庆 2025-02-12 柴油价","7.50 元/L","构造情景","国家发展改革委 https://www.ndrc.gov.cn/xwdt/xwfb/202501/t20250116_1395727.html；主证据图 SHA-256 0ccbb0692f129d3b712bad4ab1cf801138e25538765b016ba2ced292648937cb；地方辅助页 SHA-256 b2f29171428a2d3f60f48c4d7c4ad178dbc5174702533ef44a9ef63d4f19d614","调价 2025-01-16；用于 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","由国家调价和地方辅助材料推导，不是同日地方表直接列出的升价。","国家通知、地方辅助页、完整推导字段与哈希登记。","否"
"L17 北京分时电价","峰/平/谷 1.14862175/0.83644275/0.56328575 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；北京扫描 SHA-256 a77e05e77c8fca6d83630796d87eba501ce3955f90634b9a0c7e2e3f36ac7176","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:691-917；_load_time_profile()；_china_prices()","第4节表 tab:tou","1–10 kV 单一制是预注册合同情景，非命名车场账单；官方原始 URL 仍有缺口。","冻结价表、扫描哈希、48槽日历和选档合同。","是"
"L18 天津分时电价","峰/平/谷 1.12856875/0.79746875/0.43996875 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；天津扫描 SHA-256 a7b45b4c4c9ffc9961e5b73b3820c0baae5eb1d3508a31dbe998d564f33fc14d","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:691-917","第4节表 tab:tou","档位是研究设定，不是车场电费单；扫描来源弱于直接官方原页。","价表登记、扫描哈希、选档规则和48槽运行时。","是"
"L19 河北南网分时电价","尖/峰/平/谷 1.13479375/0.99488375/0.70683375/0.39820875 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；河北扫描 SHA-256 67965a58b3e87ec159920f0d17e1d7c9bf1c378390a1c50379baa6dec6761edd","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:70-125,691-917","第4节表 tab:tou","省网价区映射与命名车场合同类别仍是情景。","登记册、扫描哈希、city→price_area 映射和运行时日历。","是"
"L20 广东珠三角分时电价","广州/东莞/佛山尖/峰/平/谷 1.65206875/1.32716875/0.79206875/0.31816875 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；广东扫描 SHA-256 c00d91f64a67d3aa7c314e3f68b08ff3f2f85ab807cc0a9c8eb1e76344c481fb","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:70-125,691-917","第4节表 tab:tou","价区明确不含深圳，不能把本行静默复制到深圳。","广东价表哈希、城市映射和深圳独立 overlay 反向校验。","是"
"L21 深圳独立价区分时电价","尖/峰/平/谷 1.43716875/1.15526875/0.75776875/0.25716875 元/kWh；基本电费 0","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v3.json SHA-256 b1239013d37fcf68f171443e84b500ff5bbba2a4b5e68c8309e2335f199c55b9；深圳扫描 SHA-256 6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2；https://drc.gd.gov.cn/ywtz/content/post_833857.html；https://szjgdj.sz.gov.cn/home/ztzl/mxq/jmlb/content/post_1656254.html","价格月 2025-02；闭合取证 2026-07-23","solver/src/setp_solver/china81.py:70-125,691-917","第4节电价说明；表 tab:tou","政策支持用户类别，但没有命名车场实际容量、计量方式和利用率观测。","v3 overlay、政策页面、扫描哈希、深圳闭合报告和运行时映射。","是"
"L22 四川分时电价","峰/平/谷 1.195185/0.788048/0.380911 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；四川扫描 SHA-256 b19ff72661a21043ee70eb1cf9c53d161315b5c60dd0faa6f2775d6033d958c9","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:70-125,691-917","第4节表 tab:tou","不是成都命名车场合同观测；原始官方 URL 证据弱于本地扫描。","价表、扫描哈希、城市映射和48槽运行时。","是"
"L23 重庆分时电价","峰/平/谷 1.227787/0.821507/0.401684 元/kWh","构造情景","data/ChinaPrices/china_2025_02_tariff_register_v2.json SHA-256 d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e；重庆扫描 SHA-256 88827f64aed19b7a23dc6cfb5203fc557a735eddfbd791e1ce3a2d96695308ea","价格月 2025-02；冻结 2026-07-18","solver/src/setp_solver/china81.py:70-125,691-917","第4节表 tab:tou","1–10 kV 用户类别情景，不是命名园区账单。","冻结扫描、哈希、登记册和运行时日历。","是"
"L24 时段碳强度日历","Li 等 S1-2025 省级逐小时投影；阶梯复制为48半小时槽；九城映射 Beijing/Tianjin/Hebei/Guangdong/Sichuan/Chongqing；正式月2025-02；展示日2025-02-12","构造情景","Figshare v3 https://doi.org/10.6084/m9.figshare.28953545.v3；data/Carbon/中国情景/raw_20260717/CEF_data_Scenario_S1.xlsx SHA-256 8e23df4a39707077a2c772e9ab0a275b388fe4ded04d0db4fe0937616499486d；运行日历 SHA-256 e714b05b2e44635204681fe213dfd454e9f9009c647bad7318ce6b0ccad2004b","发布 2026-04-02；情景年2025；冻结2026-07-17/23","solver/src/setp_solver/china81.py:70-125,803-833","第4节碳强度段；图 fig:carbon-profile","模拟/投影并非官方、实测、实时或边际强度；论文三张核心电网叙述与代码六列映射不一致。","DOI、原始文件双哈希、许可证、转换合同、城市映射和运行日历。","否"
"L25 预测碳强度等于实际碳强度","forecast_gco2_per_kwh 与 actual_gco2_per_kwh 逐槽完全相同","工程假设","无独立预测源；solver/src/setp_solver/china81.py SHA-256 c70133cf59e33f6331a1fafb95188430615472974c2a1e3d2e838f822a09e79e","代码快照 2026-07-28","solver/src/setp_solver/china81.py:816-817","第2节公式 eq:carbon 后的预测/实际说明；第4节碳强度段","论文称差值刻画预测误差，但当前中国输入没有误差轴。","赋值代码和运行时日历；无独立预测产品。","否"
"L26 冻结 OSM 有向道路距离与 Σ(v²d) 矩阵","81实例；CV/EV分离；同一路线保存 road_distance_m 与 road_sum_v2d_m3_s2；无反向复制、欧氏或直线回退","构造情景","data/ChinaInstances/china81_local_directed_matrices_corrected_v10_20260723/metadata.json SHA-256 1a7436899751be14988dca559da62c1a7c2ad3dc5b2328bd3ed9b9050704e2e1；report.md SHA-256 7c1ee62ed84f5e50da661b2939553a253619f2235f311fa2832d34ccdf05b425","OSM快照 2026-07-16；矩阵冻结 2026-07-23","solver/src/setp_solver/china81.py:40-42,300；solver/src/setp_solver/instance_loader.py:287-318","第4节实验设计 OSM/OSRM 来源段","OSM 为社区地图快照，矩阵是路由构造量，不是车辆实测轨迹。","冻结PBF清单、OSRM profile/版本、1,578,948有向对报告、矩阵哈希和失败关闭规则。","否"
"L27 OSRM 行程时间矩阵","OSRM 26.7.3 按 CV/EV 货运 profile 输出每个有向点对 road_duration_s","构造情景","矩阵 metadata SHA-256 1a7436899751be14988dca559da62c1a7c2ad3dc5b2328bd3ed9b9050704e2e1；osrm-routed SHA-256 ca2ff4a5536b9e89e7cdb96b04203fd81f356f75cde7e34926f8a7d4911b9904；profile SHA-256 48bbb716c2b68ce6803a11a4151fcac050c6ea8240295e7dde111f15f8bd3984","路网快照 2026-07-16；矩阵冻结 2026-07-23","solver/src/setp_solver/instance_loader.py:287-318；china81.py:300","第4节实验设计；公式 eq:time_prop","静态 profile 估计不含 2025-02-12 逐时拥堵观测，不能称实际行程时间。","固定二进制、profile、PBF、同路线三矩阵闭合和有向完整性证据。","否"
"L28 节点与设施位置","客户为可追溯POI身份的合成抽样；车场为命名设施身份+情景道路接入点；公共站保留OSM/运营商身份","构造情景","data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/facilities.csv SHA-256 b7bcafb0fcaabc5ebc1557583b92858d3537ce8aca4ad7dbf6b1098387e21d2e；data/ChinaInstances/china_customer_location_contract_v2_20260718.json SHA-256 679dadd3cb3ef91f5c56e88556175249f9ca37f1ffdbea398896cdca75957f2d","位置合同 2026-07-18；纠正权威 2026-07-23","solver/src/setp_solver/china81.py:241-300,549-610","第4节实验设计；表 tab:instance-detail","设施身份可追溯不等于入口、客户或设备实测；论文未交代情景道路接入点。","设施来源、WGS84、行政区核验、道路可达、客户池审计和哈希。","否"
"L29 合成订单属性","体积1.0/1.5/2.0/2.5/3.0 m³映射为139/208/278/347/417 kg；服务6/9/12/15/18 min；窗口起点与宽度联合经验重采样","构造情景","Figshare https://doi.org/10.6084/m9.figshare.28113608.v1；data/ChinaInstances/china_order_attribute_contract_v2_20260718.json SHA-256 d667461e27f34b22bf1906b42e9cf96f364966525de1b188ba9fddf771e5c701；orders.csv SHA-256 a36b833228f9313f02a5e7796156b1f1e0b1a39982e5427c017d25522349c982","合同 2026-07-18；订单权威 2026-07-23","solver/src/setp_solver/china81.py:248-263,610-630","第4节实验设计合成订单段；表 tab:instance-detail","论文仍写已撤回的三段公斤、8/12/18 min 和30 min网格规则。","Figshare源、1222条原始记录、转换合同、种子/哈希和当前订单表。","是"
"L30 运营日历与作业时域","正式月2025-02-01至02-28；展示日2025-02-12；48半小时槽；06:00–22:00；Asia/Shanghai","构造情景","docs/handoff/china_carbon_tariff_calendar_alignment_contract_v2_20260718.md SHA-256 6f15e7878a2ef5ff0aced57bb034f6eabee9d62f25995ca8de4b6d3f05d36c94；china_e3_formal_release_contract SHA-256 077da71a59ba9f4bdaadf41aa07440ffe8f355cc9086c16276df431bb66441c9","合同冻结 2026-07-18/23；模拟月 2025-02","solver/src/setp_solver/china81.py:691-868；_node_from_rows()","第4节实验设计的06:00–22:00与2025年2月说明","结果盲研究日历，不是企业实际排班；展示日不能代替28日面板。","结果盲选月规则、日历合同、48槽完整性和联合主键约束。","否"
"L31 车场充电桩数量与功率","每场2枪×22 kW；敏感性1/2/3枪、11/22/44 kW","构造情景","facilities.csv SHA-256 b7bcafb0fcaabc5ebc1557583b92858d3537ce8aca4ad7dbf6b1098387e21d2e；model_change_approval_register SHA-256 1721048da32c19205024d36bffbb5a07230cd9084a2013deda407f28005a6cd4","批准 2026-07-23；重申 2026-07-27","solver/src/setp_solver/china81.py:565-595,900","第4节参数段；公式 eq:station_cap","无命名车场实装观测；论文遗漏2枪与敏感性。","预注册批准、设施表、逐节点载入和敏感性轴。","否"
"L32 公共充电站数量与功率","每站1枪×60 kW","构造情景","facilities.csv SHA-256 b7bcafb0fcaabc5ebc1557583b92858d3537ce8aca4ad7dbf6b1098387e21d2e；国家能源局原型 https://www.nea.gov.cn/2024-03/08/c_1310760543.htm；china_parameter_lock SHA-256 05078ffd735fc0f17f22b47d0c4d709dab2ba6838c002ab7cd85436010e155a8","原型 2024-03-08；情景冻结 2026-07-18/23","solver/src/setp_solver/china81.py:565-595","第4节参数段；公式 eq:station_cap","真实站身份不证明该站恰有1×60 kW；公开资料仅为设备原型锚点。","站点身份、设施表、国家能源局原型和明确情景边界。","否"
"L33 有限车队规模规则","先做确定性首次可行装箱得R_d；num_cv=R_d；num_ev=max(1,ceil(0.25R_d))；储备系数主值1.25、敏感性1.10/1.25/1.50","构造情景","fleet_caps.csv SHA-256 48fcf934e480504d22981e850e24ce0daa7ff11b2f73d4f806b6396cd9fcd367；decision.json SHA-256 62a976cec474f4f37e42ac3eab6dc4349e027acad2189a880c0bc868da72318c；批准登记 SHA-256 1721048da32c19205024d36bffbb5a07230cd9084a2013deda407f28005a6cd4","旧权威 2026-07-23；新车型重算要求 2026-07-27","solver/src/setp_solver/china81.py:53-56,222-239,311-328,397-407","第2/3节有限实体车约束；第4节混合车队说明","默认仍指向旧EV 1000 kg生成的v1权威；批准记录要求按新1700 kg/77.28 kWh重算，旧R_d无效。","规则合同、旧权威哈希、默认路径和明确失效/重算记录。","否"
"L34 非线性充电曲线 NL90","SOC 0–90% 相对功率1.0；90–100%相对功率0.5","工程假设","无福田 ES1 77.28 kWh 官方曲线；solver/src/setp_solver/charging_curve.py SHA-256 158cc9f9e50645692bfb0ceb218745e3c73d58dd5a6e44282a0bda7f0edfec70","代码快照 2026-07-28","solver/src/setp_solver/charging_curve.py:76-82；solver/src/setp_solver/china81.py:915-917","第2节公式 eq:charge_duration；第4节实验设计","一般文献支持高SOC降功率，但不支持目标车恰在90%断点降到0.5。","分段内核、时长守恒审计和一般文献；无车型专属曲线。","否"
"L35 EV 初始电量","initial_ev_battery_kwh=0.0；再由车场出发前充电动作补能","工程假设","无车队班前SOC数据；solver/src/setp_solver/china81.py SHA-256 c70133cf59e33f6331a1fafb95188430615472974c2a1e3d2e838f822a09e79e","代码快照 2026-07-28","solver/src/setp_solver/china81.py:896；_china_prices()","第2节电池传播与趟前充电叙述","强假设影响首趟前时长、费用、排放和并发；需解释待预充而非物理到场SOC。","代码语义和充电动作记录；无运营观测。","否"
"L36 碳影子价格","主值0.07502元/kgCO2e；低值0.05632；合同高值0.10565","构造情景","上海环境能源交易所 https://overview.cneeex.com/c/2025-06-30/496524.shtml；docs/handoff/china_policy_scenario_contract_20260717.md SHA-256 a5ae194784b1924fbf58241aada77b478a5af611e76823393f026caf246e1c96","市场价 2025-06-30；冻结 2026-07-17","solver/src/setp_solver/china81.py:906-907；solver/src/setp_solver/cost.py:205","第4节碳价参数段；公式 eq:F1","道路物流当前不直接履约；只能解释为内部影子价、扩围或上游传导情景。","交易所日报、覆盖行业文件、政策情景合同和代码。","是"
"L37 柴油直接排放因子","2.70480534 kgCO2/L","官方观测","国家发展改革委指南 https://www.ndrc.gov.cn/xxgk/zcfb/tz/201511/W020190905506438255108.pdf；docs/handoff/china_policy_scenario_contract_20260717.md SHA-256 a5ae194784b1924fbf58241aada77b478a5af611e76823393f026caf246e1c96","指南 2015；复算冻结 2026-07-17","solver/src/setp_solver/china81.py:908；solver/src/setp_solver/cost.py:194","第4节其余参数；第2节公式 eq:carbon","由官方参数复算，覆盖燃烧CO2，不含CH4、N2O、尿素或全生命周期；最终值非官方表直接单列。","官方指南、逐步复算和核算边界合同。","是"
"L38 固定成本口径","170元/趟；按len(solution.routes)计费，不按购置或物理车数一次计费","构造情景","云能 https://m.yunnengcar.com/sys-nd/115.html 快照 SHA-256 403fedb9ea9b7d4d65b382c8a4b843fac12ffc1f1cf1c2d377380f6ceef20461；WRI https://wri.org.cn/sites/default/files/2021-08/new-energy-freight-vehicles-final.pdf 快照 SHA-256 7dc16df11d651dcea37119151346bdcfd61672838814f48358a0b5c24b3e4316","访问/推导 2026-07-17","solver/src/setp_solver/china81.py:909；solver/src/setp_solver/cost.py:168","第2节公式 eq:F2；第4节每趟派遣费","近邻车型公开月租/资本等效中位，不是同规格实付；与里程维保可能重复计费。","两条公开来源、透明推导、160–200区间、成本证据包和代码。","是"
"L39 公共站占用费","0.50元/min","构造情景","特斯拉中国 https://www.tesla.cn/support/charging/supercharger/fees 快照 SHA-256 a733ceac878e60bb517b518cbf95c2e9f2a9f19fc88585fd77aa779c286d1e62；新华网调查快照 SHA-256 3a683569634e6de531dcd3dadb94a726b695e1f0d06c505f593a5debfe30b210；每日经济新闻快照 SHA-256 c95385b3f410523e2184bd7ae183a4a6d2017a3f73dc5c8056879ee377c67e8d","证据访问 2026-07-17","solver/src/setp_solver/china81.py:910；solver/src/setp_solver/cost.py:1204","第2节公式 eq:F5；第4节占用费参数","运营商有宽限、封顶和0.25–6.40元/min差异；线性0.5不代表全国规则。","企业规则、媒体/站点交叉证据、0.25–1.00敏感区间和推导。","是"
"L40 单位货量收入","1.50元/kg","构造情景","有赞/德邦 https://help.youzan.com/displaylist/detail_5_5-2-276882 快照 SHA-256 34575387d8c100dd77aa1701a8fe5f446e3329cc761f5e5d2ce706ace143f917；中快运 https://www.zhongkuaiyun.com/pricing 快照 SHA-256 0c0242487870486fd629f709290fdf9fc7f8d1c7398aa06dbbf7be83b01edc96","证据访问 2026-07-17","solver/src/setp_solver/china81.py:912；solver/src/setp_solver/profit.py","第2节公式 eq:stage_profit；第4节收入参数","受线路、体积重、议价和附加费影响；是毛收入proxy，不是利润或实际合同价。","两类公开报价、250kg折算、1.02–1.80区间和证据包。","是"
"L41 非能源里程成本","CV 0.78元/km；EV 0.67元/km","构造情景","ICCT https://www.theicct.org.cn/wp-content/uploads/2025/02/ze-hdvs-china-tco-CH-nov21.pdf 快照 SHA-256 f1b7306b64cd8473091544ae1c39a6209f0eb9c164d4546b065a8e3cf17104f7；政府目录 https://www.kbs.gov.cn/zwgk/zfxxgk/yfxz_138913/kbsxzsyxsfxmqd/202503/t20250331_3778781.html 快照 SHA-256 c6a3f4b3886ec4e4101a61444886624ae32ca5385543be6089d3136e82a716d9","访问/推导 2026-07-17","solver/src/setp_solver/china81.py:648,675；solver/src/setp_solver/cost.py:170-177","第2节公式 eq:F3；第4节表 tab:vehicle","组合维保、轮胎与50%收费公路暴露；多为重卡/长途近邻证据，且可能与固定成本重复。","ICCT锚点、政府通行费、逐项公式、暴露比例和敏感区间。","否"
"L42 公共充电服务费","0.40元/kWh","工程假设","无九城命名站同值的一手价目；data/ChinaInstances/china81_runtime_parameter_authority_v4_20260723/tariff_carbon_hourly_calendar.csv SHA-256 e714b05b2e44635204681fe213dfd454e9f9009c647bad7318ce6b0ccad2004b","运行时权威 2026-07-23；核验 2026-07-28","solver/src/setp_solver/china81.py:779-800,824-829","第2节公式 eq:F5；第4节表 tab:tou 表注","服务费非全国统一；上海0.42证据不能证明九城统一0.40。","运行时日历、energy+service=total闭合和来源边界合同；无九城同值一手价目。","否"
