BUNDLE-cn-cy-15c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-15c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-15c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-15c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-200c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=204;customers=200;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-200c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-200c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=204;customers=200;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-200c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-200c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=204;customers=200;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-200c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-20c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-20c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-20c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-20c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-20c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-20c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-25c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=27;customers=25;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-25c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-25c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=27;customers=25;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-25c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-25c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=27;customers=25;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-25c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-50c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=54;customers=50;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-50c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-50c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=54;customers=50;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-50c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-50c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=54;customers=50;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-50c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-75c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=79;customers=75;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-75c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-75c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=79;customers=75;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-75c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-75c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=79;customers=75;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-75c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-100c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=beijing,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-100c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-100c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=beijing,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-100c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-100c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=beijing,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-100c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-10c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-10c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-10c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-10c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-10c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-10c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-150c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=156;customers=150;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-150c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-150c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=156;customers=150;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-150c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-150c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=156;customers=150;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-150c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-15c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-15c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-15c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-15c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-15c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-15c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-200c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=206;customers=200;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-200c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-200c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=206;customers=200;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-200c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-200c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=206;customers=200;cities=beijing,shijiazhuang,tianjin;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-200c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-20c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-20c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-20c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-20c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-20c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=22;customers=20;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-20c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-25c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=27;customers=25;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-25c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-jjj-25c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=27;customers=25;cities=beijing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-jjj-25c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
