network,owner_count,owner_path,owner_sha256,responsibility_condition,seed,status
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed3__geographic.owners.csv,7206728e7f9162f4d40b88890ded8afcf483eef58bbbd5fc3e165426a384e226,geographic,3,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed3__historical_mixed.owners.csv,ee979bc173083abad2eaf27397fd5be732a517f96f2bc3f9b78e16d3dbb3cbae,historical_mixed,3,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed4__geographic.owners.csv,85dd15589626f50387476cd51871f08e2070bdd7831e1c81b2387abd45f36466,geographic,4,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed4__historical_mixed.owners.csv,e52343d92824b9dba28ce4abac9bbcde0c23be2f847129c2f0469f2e98303517,historical_mixed,4,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed5__geographic.owners.csv,3ad881ad0864808c485acbf28f7dddaecdc291c55092a01dceee49d49c96b73a,geographic,5,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed5__historical_mixed.owners.csv,50819227d9fc596cd735cba51760ff597cded076eb5452838c8d9d0d330901b0,historical_mixed,5,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed1__geographic.owners.csv,78277246d2d54cec8fe1295ad76a1486175ed84ad939d53e62664d5d6df95ef3,geographic,1,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed1__historical_mixed.owners.csv,287892dd105a56a25e42a6d00245e400d78ab274db50124f7a9a087611f965b4,historical_mixed,1,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed2__geographic.owners.csv,3a144c2ef774514240647c6c056168858a74cf2604bff01a4652472766b997d4,geographic,2,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed2__historical_mixed.owners.csv,402a552f4395c49ba7923d4155920f99e475c19a2aed2fbfba930cba9e48a4d9,historical_mixed,2,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed3__geographic.owners.csv,400503c932d1327024e9a65c4e0d8d2c32ece293085e77358f97feb9389b50be,geographic,3,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed3__historical_mixed.owners.csv,c0f3e40338bc6a4c7e2cba0d0cd30f179e0a1773309db447cbf65e093e6be1c6,historical_mixed,3,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed4__geographic.owners.csv,b1bd9f53a610b3d52052eeb2f3ddc57b24d5c47f291f673a226ae6d471582fb2,geographic,4,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed4__historical_mixed.owners.csv,242e6b01b9ac14d61c61ede15f0e85134a7617aa35120c70ffe4d24bb8603259,historical_mixed,4,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed5__geographic.owners.csv,ba8349f72bdd37f318dde06952f149198000c212548a00ed2dd24d175da6ea1e,geographic,5,PASS
N322,325,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N322/stream_seed5__historical_mixed.owners.csv,e85a38b4082851fb2c1147a1c78ba11b727180c5b9c6b7ee09a0c54f16d773cb,historical_mixed,5,PASS
