identity_cluster_id,identity_cluster_class,identity_cluster_reason,identity_cluster_note,identity_cluster_source,category,instance,algorithm,seed,run_count,best_cost,instance_frontier_cost,gap_to_frontier_fraction,best_signature,signature_prefix,native_best_updates_min,native_best_updates_max,baseline_only,covers_expected_matrix,run_ids
IDC016,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-100c-01,GA|PSO,3,2,3168.1337021968106,2848.223791996355,0.11231909202479728,1d09a204ef620a9c981ef6ef271f3e04b946078adad6c0ed2ea8e8030d58ba99,1d09a204ef620a9c,2,3,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-100c-01__GA__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-100c-01__PSO__seed3
IDC017,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-10c-01,ACO,1|3,2,422.95692927609059,408.6283967549251,0.03506494564487893,eee6d1e22767f8293124aa18d9edcf85c82a90aa4830f20ff59b92415f6e4017,eee6d1e22767f829,10,12,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__ACO__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__ACO__seed3
IDC019,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-10c-01,GA|GA-VNS|GWO|IWD|LNS|VNS|t3_main_alns,1|2|3,18,408.62839675492512,408.6283967549251,0.0,c5a3d4ebed97f7791d23ef1a96fe3cba82664ce6348413d077ab6fa23f4d92d2,c5a3d4ebed97f779,3,13,False,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GWO__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__IWD__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__IWD__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__LNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__LNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__LNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__VNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__t3_main_alns__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__t3_main_alns__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__t3_main_alns__seed3
IDC018,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-10c-01,GA|PSO,1|2|3,3,414.5848047804165,408.6283967549251,0.014576588589519246,72c478c42fe1bc3789484d4b74851091d578c45cae8fb549f125f6b38b22ab26,72c478c42fe1bc37,6,8,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__GA__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-10c-01__PSO__seed3
IDC020,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-150c-01,GA|GA-VNS,2,2,3681.679194519842,3425.490341646978,0.07478895787798029,1125b9d2a82de97b7de1b53efce6fe134deda3604d2656ae8aea49e5bec2fbb0,1125b9d2a82de97b,2,2,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-150c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-150c-01__GA__seed2
IDC021,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-15c-01,ACO|GA|GA-VNS|GWO|IWD|LNS|VNS|t3_main_alns,1|2|3,17,642.18528500570801,642.185285005708,0.0,afb7d3ffa44b76e4b1987a952ebfd2656976f823cc372d01427664ba1fbadf6a,afb7d3ffa44b76e4,6,20,False,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__ACO__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__ACO__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__IWD__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__LNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__LNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__VNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__t3_main_alns__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__t3_main_alns__seed3
IDC022,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-15c-01,GA|GWO,2,2,644.38628555495404,642.185285005708,0.003427360608592065,e108019aef761e52082971a1b982d87f9ded4cc3e00c63e865e7b8417ec37295,e108019aef761e52,6,22,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GA__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__GWO__seed2
IDC023,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-15c-01,IWD|LNS,1,2,647.37843566491006,642.185285005708,0.008086685852909083,ad6b47a9786944309d38b40747912c46462524bdc8502834910027f44b6da393,ad6b47a978694430,10,13,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__IWD__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-15c-01__LNS__seed1
IDC024,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-200c-01,GA|GA-VNS,1,2,5490.3156910994849,4942.844681082312,0.11076031017371481,f7f3a30980506068996d81a8efdcc0b84173f5be92119f70d8c76b2f1d1ccc9f,f7f3a30980506068,2,2,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA__seed1
IDC026,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-200c-01,GA|GA-VNS,3,2,5542.5904729091581,4942.844681082312,0.12133615974668314,1a7bac8f1a8578acf96e304ce37b0a694f345386483d711445ac6f22ea1e1df8,1a7bac8f1a8578ac,2,2,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA__seed3
IDC025,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-200c-01,GA|GA-VNS|PSO,2|3,3,5434.4945290425385,4942.844681082312,0.099466983019295,15d32927006bd52db96cefc5af97db9d05fe6688778cfbe18b0db8b56e82cebb,15d32927006bd52d,2,3,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__GA__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-200c-01__PSO__seed3
IDC027,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-20c-01,GA-VNS|VNS,2|3,3,739.57878992586132,738.5739783386896,0.0013604752084982762,49589ada997a24c47109cbe6d84dd4c0236fdfbba4d7590cc07fc3d2c41cc61e,49589ada997a24c4,9,16,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__VNS__seed3
IDC029,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-20c-01,GWO|VNS,2|3,2,738.97823983152944,738.5739783386896,0.0005473540968085225,0a8e003b1d7a4dda8967ce302730a05d1a8d41f991e952beccdda644cfa83016,0a8e003b1d7a4dda,13,17,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__VNS__seed2
IDC028,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-20c-01,GWO|t3_main_alns,1|2|3,4,738.57397833868959,738.5739783386896,0.0,a5b098414051f0e63cef38b50fdb81a7240ef292e368d18c89260d677c5b50c7,a5b098414051f0e6,12,20,False,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__t3_main_alns__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__t3_main_alns__seed2|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__t3_main_alns__seed3
IDC030,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,vanilla,e2-vanilla-20c-01,LNS|VNS,1,2,739.05384315366473,738.5739783386896,0.0006497180093651926,c46d2aff91a057864caff000af9d62d87e3f22d27e4098ef7f0737295792f635,c46d2aff91a05786,12,23,True,False,D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__LNS__seed1|D_G5_TIER1__formal_goeke80__vanilla__e2-vanilla-20c-01__VNS__seed1
